rowid,kepid,kepoi_name,kepler_name,koi_disposition,koi_vet_stat,koi_vet_date,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_disp_prov,koi_comment,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_time0,koi_time0_err1,koi_time0_err2,koi_eccen,koi_eccen_err1,koi_eccen_err2,koi_longp,koi_longp_err1,koi_longp_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_ingress,koi_ingress_err1,koi_ingress_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_ror,koi_ror_err1,koi_ror_err2,koi_srho,koi_srho_err1,koi_srho_err2,koi_fittype,koi_prad,koi_prad_err1,koi_prad_err2,koi_sma,koi_sma_err1,koi_sma_err2,koi_incl,koi_incl_err1,koi_incl_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_insol,koi_insol_err1,koi_insol_err2,koi_dor,koi_dor_err1,koi_dor_err2,koi_limbdark_mod,koi_ldm_coeff4,koi_ldm_coeff3,koi_ldm_coeff2,koi_ldm_coeff1,koi_parm_prov,koi_max_sngle_ev,koi_max_mult_ev,koi_model_snr,koi_count,koi_num_transits,koi_tce_plnt_num,koi_tce_delivname,koi_quarters,koi_bin_oedp_sig,koi_trans_mod,koi_model_dof,koi_model_chisq,koi_datalink_dvr,koi_datalink_dvs,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_smet,koi_smet_err1,koi_smet_err2,koi_srad,koi_srad_err1,koi_srad_err2,koi_smass,koi_smass_err1,koi_smass_err2,koi_sage,koi_sage_err1,koi_sage_err2,koi_sparprov,ra,dec,koi_kepmag,koi_gmag,koi_rmag,koi_imag,koi_zmag,koi_jmag,koi_hmag,koi_kmag,koi_fwm_stat_sig,koi_fwm_sra,koi_fwm_sra_err,koi_fwm_sdec,koi_fwm_sdec_err,koi_fwm_srao,koi_fwm_srao_err,koi_fwm_sdeco,koi_fwm_sdeco_err,koi_fwm_prao,koi_fwm_prao_err,koi_fwm_pdeco,koi_fwm_pdeco_err,koi_dicco_mra,koi_dicco_mra_err,koi_dicco_mdec,koi_dicco_mdec_err,koi_dicco_msky,koi_dicco_msky_err,koi_dikco_mra,koi_dikco_mra_err,koi_dikco_mdec,koi_dikco_mdec_err,koi_dikco_msky,koi_dikco_msky_err
1,10797460,K00752.01,Kepler-227 b,CONFIRMED,Done,2018-08-16,CANDIDATE,1.0000,0,0,0,0,q1_q17_dr25_sup_koi,NO_COMMENT,9.488035570,2.7750000e-05,-2.7750000e-05,170.5387500,2.160000e-03,-2.160000e-03,2455003.539,2.160000e-03,-2.160000e-03,0,,,,,,0.1460,0.3180,-0.1460,2.95750,0.08190,-0.08190,,,,6.1580e+02,1.950e+01,-1.950e+01,0.022344,8.320000e-04,-5.280000e-04,3.20796,0.33173,-1.09986,LS+MCMC,2.26,2.600e-01,-1.500e-01,0.0853,,,89.66,,,793.0,,,93.59,29.45,-16.65,24.810000,2.600000,-2.600000,Claret (2011 A&A 529 75) ATLAS LS,0.0000,0.0000,0.2291,0.4603,q1_q17_dr25_koi,5.1358490,28.4708200,35.80,2,142,1,q1_q17_dr25_tce,11111111111111111000000000000000,0.68640,Mandel and Agol (2002 ApJ 580 171),,,010/010797/010797460/dv/kplr010797460-20160209194854_dvr.pdf,010/010797/010797460/dv/kplr010797460-001-20160209194854_dvs.pdf,5455.00,81.00,-81.00,4.467,0.064,-0.096,0.1400,0.1500,-0.1500,0.9270,0.1050,-0.0610,0.9190,0.0520,-0.0460,,,,q1_q17_dr25_stellar,291.934230,48.141651,15.347,15.890,15.270,15.114,15.006,14.082,13.751,13.648,0.002,19.462294000,0.000014000,48.14191000,0.00013000,0.43000,0.51000,0.94000,0.48000,-2.000000e-04,3.20000e-04,-5.500000e-04,3.10000e-04,-0.0100,0.1300,0.2000,0.1600,0.2000,0.1700,0.0800,0.1300,0.3100,0.1700,0.3200,0.1600
2,10797460,K00752.02,Kepler-227 c,CONFIRMED,Done,2018-08-16,CANDIDATE,0.9690,0,0,0,0,q1_q17_dr25_sup_koi,NO_COMMENT,54.418382700,2.4790000e-04,-2.4790000e-04,162.5138400,3.520000e-03,-3.520000e-03,2454995.514,3.520000e-03,-3.520000e-03,0,,,,,,0.5860,0.0590,-0.4430,4.50700,0.11600,-0.11600,,,,8.7480e+02,3.550e+01,-3.550e+01,0.027954,9.078000e-03,-1.347000e-03,3.02368,2.20489,-2.49638,LS+MCMC,2.83,3.200e-01,-1.900e-01,0.2734,,,89.57,,,443.0,,,9.11,2.87,-1.62,77.900000,28.400000,-28.400000,Claret (2011 A&A 529 75) ATLAS LS,0.0000,0.0000,0.2291,0.4603,q1_q17_dr25_koi,7.0276690,20.1095070,25.80,2,25,2,q1_q17_dr25_tce,11111111111111111000000000000000,0.00230,Mandel and Agol (2002 ApJ 580 171),,,010/010797/010797460/dv/kplr010797460-20160209194854_dvr.pdf,010/010797/010797460/dv/kplr010797460-002-20160209194854_dvs.pdf,5455.00,81.00,-81.00,4.467,0.064,-0.096,0.1400,0.1500,-0.1500,0.9270,0.1050,-0.0610,0.9190,0.0520,-0.0460,,,,q1_q17_dr25_stellar,291.934230,48.141651,15.347,15.890,15.270,15.114,15.006,14.082,13.751,13.648,0.003,19.462265000,0.000020000,48.14199000,0.00019000,-0.63000,0.72000,1.23000,0.68000,6.600000e-04,6.50000e-04,-1.050000e-03,6.30000e-04,0.3900,0.3600,0.0000,0.4800,0.3900,0.3600,0.4900,0.3400,0.1200,0.7300,0.5000,0.4500
21,10583180,K00748.01,,FALSE POSITIVE,Done,2018-08-16,FALSE POSITIVE,0.0000,0,1,1,1,q1_q17_dr25_sup_koi,MOD_SEC_DV---MOD_SEC_ALT---HAS_SEC_TCE---CENT_UNRESOLVED_OFFSET---HALO_GHOST---EPHEM_MATCH,2.696370652,7.5340000e-06,-7.5340000e-06,170.7376900,2.340000e-03,-2.340000e-03,2455003.738,2.340000e-03,-2.340000e-03,0,,,,,,0.0440,0.3600,-0.0440,3.61290,0.06860,-0.06860,,,,3.9790e+02,9.500e+00,-9.500e+00,0.017673,5.510000e-04,-3.110000e-04,0.51471,0.01428,-0.14593,LS+MCMC,1.58,1.300e-01,-1.600e-01,0.0349,,,89.56,,,1066.0,,,305.34,96.64,-86.33,5.827000,0.162000,-0.162000,Claret (2011 A&A 529 75) ATLAS LS,0.0000,0.0000,0.1496,0.5746,q1_q17_dr25_koi,5.5084010,34.5709040,48.20,1,501,1,q1_q17_dr25_tce,11111111111111111000000000000000,0.05050,Mandel and Agol (2002 ApJ 580 171),,,010/010583/010583180/dv/kplr010583180-20160209194854_dvr.pdf,010/010583/010583180/dv/kplr010583180-001-20160209194854_dvs.pdf,4989.00,149.00,-149.00,4.504,0.090,-0.060,0.1000,0.2500,-0.3000,0.8190,0.0670,-0.0820,0.7810,0.0780,-0.0560,,,,q1_q17_dr25_stellar,283.765470,47.804298,15.269,16.070,15.204,14.926,14.789,13.732,13.212,13.140,0.000,18.917658000,0.000010000,47.80415000,0.00010000,-1.47000,0.37000,-0.53000,0.37000,4.700000e-04,1.20000e-04,1.900000e-04,1.20000e-04,1.0800,0.5800,2.1900,0.5200,2.4400,0.5300,0.8900,0.5200,2.3200,0.5000,2.4900,0.5400
22,10601284,K00749.01,Kepler-226 c,CONFIRMED,Done,2018-08-16,CANDIDATE,1.0000,0,0,0,0,q1_q17_dr25_sup_koi,NO_COMMENT,5.349553819,8.8340000e-06,-8.8340000e-06,171.8069400,1.270000e-03,-1.270000e-03,2455004.807,1.270000e-03,-1.270000e-03,0,,,,,,0.0920,0.3690,-0.0920,3.02780,0.04710,-0.04710,,,,8.3100e+02,1.480e+01,-1.480e+01,0.025706,8.450000e-04,-4.530000e-04,1.73782,0.00625,-0.73875,LS+MCMC,2.55,1.600e-01,-2.400e-01,0.0563,,,89.62,,,919.0,,,168.99,34.66,-38.48,13.801500,0.049600,-0.049600,Claret (2011 A&A 529 75) ATLAS LS,0.0000,0.0000,0.1860,0.5256,q1_q17_dr25_koi,6.0370364,48.5041960,60.60,3,247,1,q1_q17_dr25_tce,11111111111111111000000000000000,0.77220,Mandel and Agol (2002 ApJ 580 171),,,010/010601/010601284/dv/kplr010601284-20160209194854_dvr.pdf,010/010601/010601284/dv/kplr010601284-001-20160209194854_dvs.pdf,5185.00,85.00,-77.00,4.440,0.098,-0.045,0.1600,0.1500,-0.1500,0.9100,0.0570,-0.0860,0.8310,0.0580,-0.0320,,,,q1_q17_dr25_stellar,292.376130,47.880989,15.416,15.988,15.363,15.172,15.093,14.114,13.724,13.633,0.002,19.491722400,0.000009300,47.88088300,0.00008400,-0.71000,0.34000,-0.38000,0.30000,5.500000e-04,2.80000e-04,3.000000e-04,2.50000e-04,0.0400,0.1300,-0.0200,0.1200,0.0400,0.1300,-0.0200,0.1200,-0.0300,0.1200,0.0400,0.1200
38,11138155,K00760.01,Kepler-1976 b,CONFIRMED,Done,2018-08-16,CANDIDATE,1.0000,0,0,0,0,q1_q17_dr25_sup_koi,NO_COMMENT,4.959319244,5.1500000e-07,-5.1500000e-07,172.2585292,8.270000e-05,-8.270000e-05,2455005.259,8.270000e-05,-8.270000e-05,0,,,,,,0.8310,0.0160,-0.0040,2.22739,0.00750,-0.00750,,,,9.8020e+03,2.000e+01,-2.000e+01,0.103379,1.245000e-03,-7.400000e-05,1.46169,0.05503,-0.18338,LS+MCMC,12.21,1.960e+00,-1.460e+00,0.0565,,,86.15,,,1103.0,,,349.40,146.52,-93.21,12.386000,0.466000,-0.466000,Claret (2011 A&A 529 75) ATLAS LS,0.0000,0.0000,0.2602,0.4096,q1_q17_dr25_koi,58.7647440,670.4895000,696.50,1,269,1,q1_q17_dr25_tce,11111111111111111000000000000000,0.05170,Mandel and Agol (2002 ApJ 580 171),,,011/011138/011138155/dv/kplr011138155-20160209194854_dvr.pdf,011/011138/011138155/dv/kplr011138155-001-20160209194854_dvs.pdf,5712.00,77.00,-77.00,4.359,0.110,-0.110,0.1000,0.1500,-0.1500,1.0820,0.1730,-0.1300,0.9760,0.0730,-0.0550,,,,q1_q17_dr25_stellar,292.167050,48.727589,15.263,15.715,15.209,15.069,15.041,14.123,13.815,13.805,0.705,19.477804010,0.000000620,48.72756620,0.00000560,0.00000,0.02200,-0.08600,0.02000,1.100000e-04,5.20000e-04,-7.000000e-05,7.50000e-04,-0.0180,0.0670,0.0120,0.0670,0.0220,0.0670,-0.0210,0.0670,-0.0770,0.0680,0.0800,0.0680
227,757450,K00889.01,Kepler-75 b,CONFIRMED,Done,2018-08-16,CANDIDATE,0.9990,0,0,0,0,q1_q17_dr25_sup_koi,NO_COMMENT,8.884922995,1.6360000e-06,-1.6360000e-06,169.9916860,1.440000e-04,-1.440000e-04,2455002.992,1.440000e-04,-1.440000e-04,0,,,,,,0.0690,0.0870,-0.0690,2.07004,0.00709,-0.00709,,,,1.6053e+04,4.740e+01,-4.740e+01,0.114124,3.960000e-04,-2.660000e-04,11.62061,0.20683,-0.40258,LS+MCMC,10.51,5.600e-01,-5.700e-01,0.0786,,,89.89,,,770.0,,,83.21,16.69,-13.87,36.466000,0.649000,-0.649000,Claret (2011 A&A 529 75) ATLAS LS,0.0000,0.0000,0.2043,0.4966,q1_q17_dr25_koi,61.2911260,474.0207800,388.20,1,153,1,q1_q17_dr25_tce,11111111111111111000000000000000,0.10590,Mandel and Agol (2002 ApJ 580 171),,,000/000757/000757450/dv/kplr000757450-20160209194854_dvr.pdf,000/000757/000757450/dv/kplr000757450-001-20160209194854_dvs.pdf,5332.00,106.00,-96.00,4.500,0.050,-0.036,-0.0800,0.1500,-0.1500,0.8430,0.0450,-0.0450,0.8210,0.0610,-0.0400,,,,q1_q17_dr25_stellar,291.137600,36.577381,15.264,15.998,15.207,14.949,14.826,13.665,13.262,13.118,0.000,19.409176250,0.000000580,36.57688800,0.00000650,0.15400,0.02500,-1.77100,0.02300,-1.300000e-03,2.00000e-03,-4.000000e-03,2.50000e-03,0.0050,0.0710,0.0710,0.0700,0.0710,0.0690,0.0830,0.0720,-0.0970,0.0780,0.1270,0.0760
